	t	x	y
	730	6.959e+06	15121.8
	731	6.94861e+06	15214.1
	732	6.93758e+06	15305.7
	733	6.92592e+06	15396.6
	734	6.91367e+06	15486.8
	735	6.90084e+06	15576.2
	736	6.88745e+06	15664.8
	737	6.87353e+06	15752.6
	738	6.85908e+06	15839.5
	739	6.84414e+06	15925.5
	740	6.82871e+06	16010.6
	741	6.81282e+06	16094.8
	742	6.79648e+06	16178
	743	6.77971e+06	16260.2
	744	6.76253e+06	16341.4
	745	6.74495e+06	16421.5
	746	6.72699e+06	16500.5
	747	6.70866e+06	16578.5
	748	6.68997e+06	16655.4
	749	6.67095e+06	16731.1
	750	6.65161e+06	16805.7
	751	6.63196e+06	16879.1
	752	6.61201e+06	16951.3
	753	6.59177e+06	17022.3
	754	6.57126e+06	17092.1
	755	6.5505e+06	17160.7
	756	6.52948e+06	17228
	757	6.50823e+06	17294.1
	758	6.48676e+06	17358.9
	759	6.46507e+06	17422.4
	760	6.44318e+06	17484.6
	761	6.4211e+06	17545.6
	762	6.39883e+06	17605.2
	763	6.37639e+06	17663.5
	764	6.35379e+06	17720.5
	765	6.33104e+06	17776.1
	766	6.30814e+06	17830.4
	767	6.28511e+06	17883.4
	768	6.26194e+06	17935
	769	6.23866e+06	17985.3
	770	6.21527e+06	18034.3
	771	6.19178e+06	18081.9
	772	6.16819e+06	18128.1
	773	6.14452e+06	18173
	774	6.12076e+06	18216.6
	775	6.09693e+06	18258.8
	776	6.07303e+06	18299.7
	777	6.04908e+06	18339.2
	778	6.02507e+06	18377.4
	779	6.00101e+06	18414.3
	780	5.97692e+06	18449.9
	781	5.95279e+06	18484.1
	782	5.92863e+06	18517
	783	5.90444e+06	18548.7
	784	5.88024e+06	18579
	785	5.85603e+06	18608
	786	5.83181e+06	18635.7
	787	5.80759e+06	18662.2
	788	5.78337e+06	18687.4
	789	5.75915e+06	18711.4
	790	5.73495e+06	18734.1
	791	5.71077e+06	18755.6
	792	5.6866e+06	18775.8
	793	5.66247e+06	18794.8
	794	5.63835e+06	18812.7
	795	5.61428e+06	18829.3
	796	5.59024e+06	18844.8
	797	5.56624e+06	18859.1
	798	5.54228e+06	18872.2
	799	5.51837e+06	18884.2
	800	5.49451e+06	18895.1
	801	5.52699e+06	13280.4
	802	5.55869e+06	13334.9
	803	5.58962e+06	13390.2
	804	5.61975e+06	13446.1
	805	5.64907e+06	13502.7
	806	5.67757e+06	13559.9
	807	5.70525e+06	13617.7
	808	5.73208e+06	13676.1
	809	5.75807e+06	13735.1
	810	5.78321e+06	13794.6
	811	5.80749e+06	13854.6
	812	5.83092e+06	13915.1
	813	5.85348e+06	13976
	814	5.87518e+06	14037.4
	815	5.89602e+06	14099.2
	816	5.91599e+06	14161.3
	817	5.9351e+06	14223.8
	818	5.95335e+06	14286.6
	819	5.97074e+06	14349.7
	820	5.98728e+06	14413.1
	821	6.00298e+06	14476.6
	822	6.01783e+06	14540.4
	823	6.03185e+06	14604.4
	824	6.04505e+06	14668.5
	825	6.05742e+06	14732.7
	826	6.06898e+06	14797
	827	6.07974e+06	14861.4
	828	6.0897e+06	14925.8
	829	6.09888e+06	14990.2
	830	6.10729e+06	15054.5
	831	6.11494e+06	15118.9
	832	6.12184e+06	15183.1
	833	6.12799e+06	15247.2
	834	6.13342e+06	15311.2
	835	6.13814e+06	15375.1
	836	6.14215e+06	15438.7
	837	6.14546e+06	15502.1
	838	6.1481e+06	15565.3
	839	6.15008e+06	15628.2
	840	6.1514e+06	15690.8
	841	6.15208e+06	15753.1
	842	6.15214e+06	15815
	843	6.15158e+06	15876.6
	844	6.15042e+06	15937.8
	845	6.14867e+06	15998.5
	846	6.14635e+06	16058.8
	847	6.14347e+06	16118.7
	848	6.14004e+06	16178.1
	849	6.13608e+06	16236.9
	850	6.13159e+06	16295.3
	851	6.12659e+06	16353.1
	852	6.1211e+06	16410.3
	853	6.11512e+06	16466.9
	854	6.10868e+06	16522.9
	855	6.10177e+06	16578.3
	856	6.09442e+06	16633.1
	857	6.08664e+06	16687.2
	858	6.07843e+06	16740.6
	859	6.06981e+06	16793.4
	860	6.0608e+06	16845.4
	861	6.0514e+06	16896.7
	862	6.04162e+06	16947.2
	863	6.03148e+06	16997.1
	864	6.02099e+06	17046.1
	865	6.01016e+06	17094.4
	866	5.999e+06	17141.9
	867	5.98751e+06	17188.6
	868	5.97572e+06	17234.4
	869	5.96363e+06	17279.5
	870	5.95125e+06	17323.7
	871	5.93859e+06	17367.1
	872	5.92566e+06	17409.6
	873	5.91247e+06	17451.3
	874	5.89902e+06	17492.1
	875	5.88534e+06	17532.1
	876	5.87143e+06	17571.2
	877	5.85729e+06	17609.4
	878	5.84294e+06	17646.7
	879	5.82838e+06	17683.1
	880	5.81363e+06	17718.6
	881	5.79868e+06	17753.3
	882	5.78355e+06	17787
	883	5.76825e+06	17819.8
	884	5.75279e+06	17851.7
	885	5.73716e+06	17882.8
	886	5.72139e+06	17912.9
	887	5.70547e+06	17942.1
	888	5.68941e+06	17970.3
	889	5.67322e+06	17997.7
	890	5.65691e+06	18024.2
	891	5.64048e+06	18049.7
	892	5.62394e+06	18074.4
	893	5.6073e+06	18098.2
	894	5.59056e+06	18121
	895	5.57373e+06	18143
	896	5.55681e+06	18164
	897	5.53982e+06	18184.2
	898	5.52275e+06	18203.5
	899	5.5056e+06	18221.9
	900	5.4884e+06	18239.4
	901	5.52548e+06	12823.1
	902	5.56175e+06	12879.4
	903	5.59718e+06	12936.5
	904	5.63175e+06	12994.5
	905	5.66546e+06	13053.2
	906	5.69828e+06	13112.7
	907	5.7302e+06	13172.9
	908	5.7612e+06	13233.8
	909	5.79129e+06	13295.4
	910	5.82044e+06	13357.6
	911	5.84865e+06	13420.5
	912	5.87592e+06	13484
	913	5.90224e+06	13548
	914	5.9276e+06	13612.6
	915	5.95201e+06	13677.7
